ASIN,FBA_Cost_USD,NARF_Cost_USD
B077XMYG3W,48.95,51.87
B0784MZ9WZ,52.34,55.47
B0784NDV1D,55.73,59.06
B078LJSNBZ,63.64,67.46
B078LJTY4X,59.12,62.66
B078LS141W,62.51,66.26
B078LXRG6N,54.6,57.87
B078NXHWG2,54.6,57.87
B078NZDDMC,52.34,55.47
B078NZXCTN,55.73,59.06
B078P1HKMK,55.73,59.06
B078P2KC5H,54.6,57.87
B078P3PGYD,52.34,55.47
B078QCZJWH,73.81,78.25
B078TYXYRM,73.81,78.31
B078V1DD8F,55.73,59.06
B078V2JCXW,26.35,27.91
B078V2PG39,47.82,50.67
B078V5H9GG,22.96,24.31
B0793D8N5F,11.61,11.05
B0793JGFHV,11.61,11.05
B0793JJTYV,11.61,11.05
B0793K2SX1,11.61,11.05
B0793K9FYX,11.61,11.05
B0793KXHT9,11.61,11.05
B0793L451J,11.61,11.05
B0793LBRFG,15.53,14.61
B0793YCQ2J,56.86,60.26
B079478L6Y,73.81,78.25
B07958SWM9,41.04,43.18
B07958V484,36.52,38.42
B07958XN32,38.78,40.80
B07958YZCV,39.91,41.99
B07958ZG1K,43.3,45.56
B0795935VJ,41.04,43.18
B0795952M5,38.78,40.80
B07959HMSB,38.78,40.80
B07959JSR7,38.78,40.80
B07959QXLL,43.3,45.56
B07959YQN6,36.52,38.42
B0795B3W6W,41.04,43.18
B0795BDNF6,36.52,38.42
B0795C6K84,52.34,55.47
B0795D4HXQ,54.6,57.87
B0795DQY7K,47.82,50.67
B0797YPNW3,38.78,41.08
B0797YQ79S,15.53,14.61
B0797YTJJ5,39.91,42.28
B0797Z39JL,39.91,42.28
B0797ZC1QL,39.91,42.28
B0798RHD92,26.02,24.14
B079N6C374,44.43,47.07
B079N9H6NN,47.82,50.67
B079TM6BD9,52.34,55.47
B079TN31QH,44.43,47.07
B079TN4N38,47.82,50.67
B079TXPNGG,46.69,49.47
B07B2Y36RW,29.95,27.71
B07B2YKX8X,29.95,27.71
B07B2YZKNB,11.61,11.05
B07B2Z2Y3F,29.95,27.71
B07B2Z8P7S,11.61,11.05
B07B2Z91XR,29.95,27.71
B07B2ZDMGJ,29.95,27.71
B07B2ZF6H7,29.95,27.71
B07B2ZFNVR,29.95,27.71
B07B2ZJG58,15.53,14.61
B07B2ZKGJ8,11.61,11.05
B07B2ZL8HX,11.61,11.05
B07B2ZMC54,29.95,27.71
B07B2ZQ5M8,29.95,27.71
B07B2ZRLC3,15.53,14.61
B07B2ZRXTT,29.95,27.71
B07B2ZTM58,29.95,27.71
B07B2ZWLGN,29.95,27.71
B07B2ZXGLV,11.61,11.05
B07B2ZXYQG,29.95,27.71
B07B311NPJ,29.95,27.71
B07B31G2VW,29.95,27.71
B07B31GY74,29.95,27.71
B07B31N6XK,29.95,27.71
B07B31VZVT,29.95,27.71
B07B3JP8BM,51.21,54.27
B07B3YD1CW,24.09,25.51
B07B422148,39.91,42.28
B07B66NSLP,43.3,45.56
B07B67TQHX,51.21,54.27
B07B7PRB9G,59.12,62.66
B07BP8GBVB,73.81,78.31
B07BT1Y7G1,50.08,53.07
B07BT2T9BZ,83.98,88.40
B07BTH79MT,50.08,53.07
B07BTHF28D,52.34,55.47
B07C36XSDF,50.08,53.07
B07C3ZCWPT,48.95,51.87
B07C3ZSN93,48.95,51.87
B07C9TLZJD,56.86,60.26
B07C9TN3MS,47.82,50.67
B07CNCRV3R,26.02,24.14
B07CRD1SZF,48.95,51.87
B07CVMNWMM,29.95,27.71
B07CVNV99L,29.95,27.71
B07CVNX743,29.95,27.71
B07D2BMTLM,45.56,48.27
B07D336DVD,65.9,69.91
B07D41Y7T2,54.6,57.87
B07D422NSN,53.47,56.67
B07DBLF492,51.21,54.27
B07DF91ZQ4,48.95,51.87
B07DF9KJZP,52.34,55.47
B07DFCHR8D,47.82,50.67
B07DLDHWDH,39.91,41.99
B07DT9VK89,53.47,56.67
B07DTDX4L4,55.73,59.06
B07F5SBNGP,39.91,41.99
B07F6JJ7PW,56.86,60.26
B07FK2VRMQ,59.12,62.66
B07FN6RR96,57.99,61.51
B07FP7TZKH,107.71,114.31
B07FPFNWWY,107.71,114.31
B07FPT65ZC,65.9,69.91
B07FPVC8DM,65.9,69.91
B07FPVJKD2,65.9,69.91
B07FR9MYLQ,29.95,27.71
B07FRTKXKZ,54.6,57.87
B07FV2LFXN,55.73,59.06
B07G7GS9LH,26.02,24.14
B07G7K971H,26.02,24.14
B07G9KZ7DK,47.82,50.67
B07G9M2GR6,51.21,54.27
B07G9M2W4Y,47.82,50.67
B07G9MCDJY,50.08,53.07
B07G9MDMDG,51.21,54.27
B07G9MP42M,53.47,56.67
B07G9MWB3T,53.47,56.67
B07G9MWJ8W,51.21,54.27
B07G9MZCPZ,47.82,50.67
B07G9N7YKS,56.86,60.26
B07G9N8NF2,73.81,78.25
B07G9N8RYC,53.47,56.67
B07G9NQ4JJ,73.81,78.25
B07G9NR5Q2,47.82,50.67
B07G9NWKHZ,51.21,54.27
B07G9NWKJ1,51.21,54.27
B07G9NYG57,47.82,50.67
B07G9NYG78,43.3,45.56
B07G9NYJX1,44.43,47.07
B07G9PMYGC,47.82,50.67
