ASIN,FBA_Cost_USD,NARF_Cost_USD
B09F5MJ6LM,111.1,117.82
B09F5MR6XC,111.1,117.82
B09F5RWSYD,51.21,54.27
B09F5SCYM9,111.1,117.82
B09F5SDT2Y,48.95,51.87
B09F5V7FFM,77.2,81.85
B09F5XNJ9R,77.2,81.85
B09F71WZ3X,74.94,79.45
B09F72QC8R,74.94,79.45
B09F73FN5W,74.94,79.45
B09F73HXKP,74.94,79.45
B09F74K6S1,74.94,79.45
B09F9ZQ1KP,29.95,27.71
B09FB1CZL1,111.1,117.82
B09FB1DLSV,111.1,117.82
B09FB21FQG,29.95,27.71
B09FB3QQNR,111.1,117.82
B09FB41GR3,29.95,27.71
B09FB59Y7L,29.95,27.71
B09FBMQ65X,111.1,117.82
B09FTHLHY5,23.39,21.75
B09FTJ3R9Z,60.25,63.86
B09FTJCFK7,54.6,57.87
B09FTKLJ9Z,29.95,27.71
B09FTL82NM,56.86,60.26
B09FTLMKKG,29.95,27.71
B09FTM1NVM,29.95,27.71
B09FTMRWXD,29.95,27.71
B09FTMYT92,29.95,27.71
B09FTN2TZ2,29.95,27.71
B09FTND7L8,29.95,27.71
B09FTNDNLJ,29.95,27.71
B09FTNQVJQ,29.95,27.71
B09FTNTG5S,29.95,27.71
B09FTNXYSP,29.95,27.71
B09FTPR5HJ,29.95,27.71
B09FTPRZLD,29.95,27.71
B09FTPXVH5,29.95,27.71
B09FV6V9F7,29.95,27.71
B09HZYVSRT,47.82,50.32
B09HZZ1YHV,44.43,46.75
B09HZZ9LWC,43.3,45.56
B09HZZL5CL,45.56,47.94
B09HZZSPDL,43.3,45.56
B09HZZTMG2,45.56,47.94
B09HZZYHZJ,45.56,47.94
B09J11Z86G,47.82,50.32
B09J1228JS,47.82,50.32
B09J127K2F,43.3,45.56
B09J1284JW,44.43,46.75
B09LLHRW42,44.43,46.75
B09NDX2711,72.68,76.50
B09NDX68JM,72.68,76.50
B09NJQNCSM,29.95,27.71
B09NL5WJVJ,73.81,78.31
B09NL9MV3F,29.95,27.71
B09NLCX8CK,29.95,27.71
B09NLGM9CL,29.95,27.71
B09NML7PGZ,38.78,41.11
B09NMLTPXV,111.1,117.82
B09NMMGNP8,111.1,117.82
B09NMMKWT1,111.1,117.82
B09NMMTZTH,111.1,117.82
B09NMP1LFG,111.1,117.82
B09NMQ9N8B,56.86,60.26
B09NMQYLN5,56.86,60.26
B09NMRHWFJ,48.95,51.87
B09NMS2STF,47.82,50.67
B09NMS424P,55.73,59.06
B09NMSFSRQ,50.08,53.07
B09NMSJH52,65.9,69.91
B09NQJST3W,38.78,40.80
B09NQJTYPL,36.52,38.42
B09NQKBWV6,36.52,38.42
B09NQKCNN7,38.78,40.80
B09NQKV4ND,36.52,38.42
B09NQM7SRB,38.78,40.80
B09PV77ZN7,65.9,69.86
B09QKJLMBM,59.12,62.66
B09QKJQ9Q1,52.34,55.47
B09QKKCP2V,51.21,54.27
B09QKKGLTX,51.21,54.27
B09QKKZ7J7,47.82,50.67
B09QKLDS5G,56.86,60.31
B09QKLQM9Z,63.64,67.46
B09SKY47NC,111.1,117.82
B0B15MDXCJ,16.85,15.81
B0B15NQMZJ,16.85,15.91
B0B15PXVYT,16.85,15.81
B0B15QZ6V1,16.85,15.81
B0B15RC3P9,16.85,15.91
B0B15RPFPV,18.16,17.00
B0B1668H68,16.85,15.91
B0B169C4FV,18.16,17.11
B0B16CPQ4M,16.85,15.81
B0B16DCCR9,16.85,15.81
B0B16FLJ2G,16.85,15.81
B0B16HHVDX,18.16,17.00
B0B16MCNR6,16.85,15.91
B0B1JND6KT,61.38,65.06
B0B1JPJJXP,63.64,67.46
B0B1JPP785,69.29,73.45
B0B1JPQ8VX,61.38,65.06
B0B1JQNKVJ,63.64,67.46
B0B1JR17R5,65.9,69.86
B0B1JRJMSW,65.9,69.86
B0B1JRMCR1,65.9,69.86
B0B1JRPBQ4,69.29,73.45
B0B1JRZTRX,68.16,72.25
B0B1JS285Q,68.16,72.25
B0B1JS92RR,68.16,72.25
B0B1KDPPWY,63.64,67.46
B0B1VT2YXG,16.85,15.91
B0B2FGX654,46.69,49.66
B0B2LY72WD,56.86,60.26
B0B2LZZY27,62.51,66.26
B0B2M1295C,54.6,57.87
B0B2M74YH5,60.25,63.86
B0B3V6N985,16.85,15.91
B0B3V7MPZJ,16.85,15.91
B0B3V7SPPZ,16.85,15.81
B0B3W7KSJV,20.78,19.51
B0B3W7S2QT,20.78,19.51
B0B3W82CRT,20.78,19.51
B0B3W8CB57,20.78,19.51
B0B4D415SQ,16.85,15.91
B0B4HFZVGK,16.85,15.81
B0B4HG6D15,16.85,15.81
B0B4HGLQTK,16.85,15.81
B0B4HGXKX9,23.4,21.76
B0B4HH4JV8,23.4,21.76
B0B4HH7YT4,23.4,21.76
B0B4HHJ9D4,23.4,21.76
B0B4HHJW5T,23.4,21.76
B0B4HHN9N4,23.4,21.76
B0B4HHTXFH,23.4,21.76
B0B4HJ2Q3C,23.4,21.76
B0B4HJBHDJ,23.4,21.76
B0B4HJJRMR,23.4,21.76
B0B4HJSGM5,23.4,21.76
B0B4HNT4SG,23.4,21.76
B0B4PT9G11,29.95,27.71
B0B55V5BN9,47.82,50.67
B0B55WNYNR,50.08,53.07
B0B562HR3V,50.08,53.07
B0B5FHWF61,59.12,62.66
B0B5FJTGBD,59.12,62.66
B0B5P4S3CP,59.12,62.66
B0B65VZCYL,30.87,32.47
B0B67XYNNM,73.81,78.31
B0B7B7H9GL,38.78,41.11
B0B7BF82YB,38.78,41.11
B0B7SLSJXJ,59.12,62.66
B0B7SNX8QD,63.64,67.46
B0B7SP14K9,62.51,66.26
B0B7SPFMNR,59.12,62.66
B0B7ZSTM8P,41.74,38.42
B0B7ZTZXF7,41.74,38.42
B0B7ZXFD5Z,41.74,38.42
B0B7ZY5HWK,29.95,27.71
B0B7ZYQ747,41.74,38.42
B0B819BS8P,41.74,38.42
B0B81XVB2H,25.21,26.51
B0B8C8Y9SZ,46.69,49.66
B0B978VK2Z,20.78,19.51
B0B9794WXN,20.78,19.51
B0B979GMDK,20.78,19.51
B0B97B7KPR,20.78,19.51
B0B9B1NYNJ,16.85,15.91
B0B9B21NWB,16.85,15.81
B0B9B2D3VS,16.85,15.81
B0B9B2DSHR,16.85,15.91
B0B9B3KDF1,16.85,15.81
B0B9B3YRCV,16.85,15.81
B0B9C88Q47,20.78,19.51
B0B9GXRQVY,20.78,19.51
B0BB8MR6CT,47.82,50.67
B0BB8PVS1X,50.08,53.07
B0BBJQMM7S,62.51,66.26
B0BBKGYPVG,62.51,66.26
B0BBL4SDN2,63.64,67.46
B0BBL6YGHC,59.12,62.66
B0BCPTS14T,63.64,67.46
B0BGH89GST,59.12,62.66
B0BLNZKQXK,36.5,33.66
B0BLNZRYL7,36.5,33.66
B0BMVSX4C8,61.38,65.06
B0BMVT7JZ2,43.3,46.05
B0BMVTQRJK,61.38,65.06
B0BMVTX3MS,61.38,65.06
B0BMVVCHQ2,61.38,65.06
B0BMVW3KM2,61.38,65.06
B0BMVW9SNF,61.38,65.06
B0BMVWP737,61.38,65.06
B0BMVWPYLT,61.38,65.06
B0BMVWR5MJ,61.38,65.06
B0BMVWSZZC,61.38,65.06
B0BMVX2Q87,61.38,65.06
B0BMVX5WL6,61.38,65.06
B0BMVY6LZ5,61.38,65.06
B0BMW7S7YB,61.38,65.06
B0BMW7W629,61.38,65.06
B0BN238SJN,62.51,66.26
B0BN23H1FZ,60.25,63.86
B0BN24BL3B,56.86,60.26
B0BN24DHCM,56.86,60.26
B0BN24Y9HS,60.25,63.86
B0BN255595,54.6,57.87
B0BN255CSR,54.6,57.87
B0BN5LX883,41.04,43.48
B0BN5MJN4M,44.43,47.07
B0BN5MLV5X,42.17,44.68
B0BN5N4VLR,43.3,45.88
B0BN8R6FDH,32.57,30.09
B0BSLNLVN4,29.95,27.71
B0BSLNS1KC,29.95,27.71
B0BSLPTKCD,29.95,27.71
B0BSLQQZ3K,29.95,27.71
B0BSLRL7G4,32.57,30.09
B0BVXQQGXR,18.16,17.11
B0BVXXBZ1P,18.16,17.11
B0BVXYGH74,20.78,19.51
B0BVY2Y7K5,18.16,17.11
B0BVY32GYQ,20.78,19.38
B0BVY47L52,18.16,17.11
B0BVY5G8RQ,18.16,17.00
B0BVY5K1T2,18.16,17.00
B0BVY5NWTH,18.16,17.11
B0BVY9TRVT,18.16,17.11
B0BVYCHHNL,18.16,17.00
B0BVYD24D7,18.16,17.11
B0BVYDF13C,18.16,17.11
B0BVYNFV7G,16.85,15.91
B0BVYNVY7V,20.78,19.38
B0BVYP3GRS,18.16,17.11
B0BVYS9P3L,18.16,17.11
B0BVYV49GR,20.78,19.51
B0BWC2WTZ9,20.78,19.38
B0BWCFLVSM,20.78,19.51
B0BWCQJMMZ,20.78,19.51
B0BXVX8NWD,60.25,63.91
B0BXVZ45JH,60.25,63.91
B0BXVZGQM8,60.25,63.91
B0BXW1W9TF,60.25,63.91
B0BXW2NMHC,60.25,63.91
B0BXW331KR,60.25,63.91
B0BXW46F3D,60.25,63.91
B0BXW4NY34,60.25,63.91
B0BXW4Y949,32.57,30.09
B0BXW67CRK,32.57,30.09
B0BXW6VHP5,32.57,30.09
B0BYY7GJNX,29.95,27.71
B0BYY8HTN3,29.95,27.71
B0BYY9M968,29.95,27.71
B0BYY9NZV6,29.95,27.71
B0BYY9TSKJ,32.57,30.09
B0BYYBCVHL,29.95,27.71
B0C22BW4L1,23.39,21.75
B0C22TR1VR,23.39,21.75
B0C9DWCN4B,16.85,15.81
B0C9DXKB87,16.85,15.91
B0C9DYZ55K,16.85,15.91
B0C9F1YV9H,16.85,15.81
B0CBQ5WCGQ,32.57,30.09
B0CCPLJZWM,23.39,21.75
B0CFFVH9JD,16.85,15.91
B0CFFXWS9Q,16.85,15.81
B0CFFYF814,18.16,17.00
B0CFFYKHXG,18.16,17.00
B0CFFZ3CND,18.16,17.11
B0CFFZ3GRH,18.16,17.00
B0CFFZV484,16.85,15.91
B0CFFZXYN3,16.85,15.91
B0CFG11XM6,18.16,17.00
B0CFG131N9,16.85,15.81
B0CFG23W94,16.85,15.91
B0CFRFZYZX,16.85,15.91
B0CG9VGPB7,32.57,30.09
B0CG9W233T,32.57,30.09
B0CG9W26B7,32.57,30.09
B0CG9W4BBN,32.57,30.09
B0CG9WV6MM,32.57,30.09
B0CG9Z45BG,32.57,30.09
B0CHWHF2HS,29.95,27.71
B0CHWJP4CK,29.95,27.71
B0CHWKKQ5N,29.95,27.71
B0CHWKN4YM,29.95,27.71
B0CHWKTBNP,29.95,27.71
B0CHWL18LW,29.95,27.71
B0CHWLHBKZ,29.95,27.71
B0CHWLM7BB,29.95,27.71
B0CHWLWJ6Q,29.95,27.71
B0CHWLYG96,29.95,27.71
B0CHWMB41K,29.95,27.71
B0CHWMJFM2,29.95,27.71
B0CHWMM1N8,29.95,27.71
B0CHWMP1ZS,29.95,27.71
B0CHWMWHYG,29.95,27.71
B0CHWNG5HR,29.95,27.71
B0CHWNQQ8X,29.95,27.71
B0CHWP137W,29.95,27.71
B0CHWP6DTS,29.95,27.71
B0CHWTGVNB,29.95,27.71
B0CJ5KZ44C,29.95,27.71
B0CJ5LFZ7S,29.95,27.71
B0CJ5MG9ZQ,29.95,27.71
B0CKLRQ6RT,32.57,30.09
B0CKLSJYMP,32.57,30.09
B0CKLTSB1N,32.57,30.09
B0CKLVWT1V,32.57,30.09
B0CKWCVJM3,16.85,15.91
B0CKWDPK9R,20.78,19.51
B0CKWDRBTM,16.85,15.91
B0CKWDV9H1,16.85,15.81
B0CKWDZRSK,20.78,19.51
B0CKWF5HWP,16.85,15.91
B0CKWFB5KM,20.78,19.51
B0CKWFF9FL,20.78,19.38
B0CKWFW5Z7,20.78,19.51
B0CKWG12R5,16.85,15.81
B0CKWG6ZK8,20.78,19.51
B0CKWGCH94,16.85,15.81
B0CKWGGJN8,20.78,19.51
B0CKWGQRWX,20.78,19.51
B0CKWGSL2L,18.16,17.11
B0CKWHKCNL,20.78,19.51
B0CKWHMXKZ,20.78,19.51
B0CKWHWQ5X,16.85,15.81
B0CKWHXMQ3,16.85,15.81
B0CKWJSZGB,16.85,15.81
B0CKWKQWQT,16.85,15.81
B0CLVS839N,20.78,19.38
B0CNRXJGWR,46.69,48.90
B0CNRXPYZ3,46.69,48.90
B0CNRXRMZ9,46.69,49.66
B0CNRYMZ3N,46.69,49.66
B0CNS17GD2,46.69,49.66
B0CQ2VKBXF,65.9,69.36
B0CQ2XJC3N,85.11,89.59
B0CQ2Y79VM,85.11,89.59
B0CQ2YD664,65.9,69.36
B0CQ2YN44Y,83.98,88.40
B0CQ2ZC5VX,83.98,88.40
B0CQTMDDWN,54.6,57.87
B0CQTMTFH8,56.86,60.26
B0CR1PV514,62.51,66.26
B0CR1QM7W1,18.16,17.00
B0CR1RDQY8,20.78,19.38
B0CR1RTVGG,16.85,15.81
B0CR1SPXZ8,16.85,15.91
B0CR4B3TBT,20.78,19.38
B0CR4BD3BW,18.16,17.11
B0CSDMX8JK,39.91,42.44
B0CSG4W6FB,23.39,21.75
B0CSG6W55D,29.95,27.71
B0CSG91FBL,23.39,21.75
B0CSG9LRKQ,23.39,21.75
B0CST5CMLG,29.95,27.71
B0CST5PYXR,32.57,30.09
B0CST5Q4RZ,29.95,27.71
B0CST5R2F8,29.95,27.71
B0CST67SQT,29.95,27.71
B0CST6C9J8,32.57,30.09
B0CST6K3ND,29.95,27.71
B0CST6VP7J,29.95,27.71
B0CST6XYVJ,29.95,27.71
B0CST7SZ3J,29.95,27.71
B0CTLKMD8M,29.95,27.71
B0CTLNDMHG,29.95,27.71
B0CTLPPFZZ,29.95,27.71
B0CTLQ17TW,29.95,27.71
B0CTLRCHCQ,29.95,27.71
B0CTLRCT2W,29.95,27.71
B0CTM1Z625,29.95,27.71
B0CV4FLX25,74.94,79.45
B0CV4GC1CP,74.94,79.45
B0CV4GLHLG,74.94,79.45
B0CV4GVMM7,74.94,79.45
B0CVQR9DY8,54.6,57.91
B0CVS5X1ND,51.21,54.31
B0CVS7JNKW,53.47,56.71
B0CZ4CFF8Z,29.95,27.71
B0CZ4D4YM7,32.57,30.09
B0CZ4DXPWL,29.95,27.71
B0CZ4DYY36,29.95,27.71
B0CZ4F476B,29.95,27.71
B0CZ4F4SM2,29.95,27.71
B0CZ4F6HN9,29.95,27.71
B0CZ4F8L3V,32.57,30.09
B0CZ4FD19Z,29.95,27.71
B0CZ4FF1V1,29.95,27.71
B0CZ4FG3CQ,29.95,27.71
B0CZ4FMTVJ,32.57,30.09
B0CZ4FSF8D,29.95,27.71
B0CZ4G15RN,29.95,27.71
B0CZ4G76MZ,29.95,27.71
B0CZ4G93CP,32.57,30.09
B0CZ4G99MG,29.95,27.71
B0CZ4GHWFW,29.95,27.71
B0CZ4GMFV8,29.95,27.71
B0CZ4GSVRD,32.57,30.09
B0CZ4GV2D1,29.95,27.71
B0CZ78SZS6,29.95,27.71
B0CZ78WVW5,29.95,27.71
B0CZ78ZWFN,29.95,27.71
B0CZ7B377Z,29.95,27.71
B0CZ7BDHHD,32.57,30.09
B0D1YGLTN4,8.26,8.70
B0D1YL3TC6,57.99,61.46
B0D1YN7N7V,55.73,59.06
B0D6W7G2MG,45.56,47.94
B0D6W8YTBM,43.3,45.56
B0D6W9122B,45.56,47.94
B0D6W96J4Q,43.3,45.56
B0D6W99XDJ,44.43,46.75
B0D6W9FSRP,44.43,46.75
B0D6WB519R,43.3,45.56
B0D6WBC1PN,46.69,49.13
B0D6WBKZWG,44.43,46.75
B0D6WBR9ZP,46.69,49.13
B0D6WDD8VP,46.69,49.13
B0D6WDW4PV,42.17,44.71
B0D6WFSVC7,45.56,47.94
B0D8JHPF5C,29.95,27.71
B0D8JHWP8B,29.95,27.71
B0D8JK5D4B,29.95,27.71
B0D8JMBFGJ,29.95,27.71
B0D9NSWQ74,22.08,20.70
B0DK9ML92T,10.97,11.58
B0DK9N3WFJ,10.97,11.58
B0DK9P2TCS,10.97,11.58
B0DK9PGMHD,10.97,11.58
B0DK9PKDX7,10.97,11.58
B0DK9PKHKN,10.97,11.58
B0DK9PN67Z,10.97,11.58
B0DK9PQ3VZ,10.97,11.58
B0DK9PVWTP,10.97,11.58
B0DK9Q4DSG,10.97,11.58
B0DK9QKGXY,10.97,11.58
B0DK9QSLMS,10.97,11.58
B0DNMR3VFZ,32.57,30.09
B0DNMX58D4,32.57,30.09
B0DNMX66YX,29.95,27.71
B0DNMXTY8T,29.95,27.71
B0DNMYBBPV,29.95,27.71
B0DNMYK18N,29.95,27.71
B0DP4YDLQT,22.08,20.70
B0DQDQGRWZ,23.4,21.76
B0DQDQRZHF,23.4,21.76
B0DQDQS6C3,23.4,21.76
B0DQDTCQRT,23.4,21.76
B0DXFF51P3,45.67,42.31
B0DXFF938K,54.84,50.71
B0DXFFMMLZ,54.84,50.71
B0DXFFN4X5,50.91,47.11
B0DXFG9LYF,49.6,45.91
B0DXFG9LYJ,45.67,42.31
B0DXFGXBVN,50.91,47.11
B0DXFH5M24,49.6,45.91
B0DXFH5VT1,45.67,42.31
B0DXFHB4N4,50.91,47.11
B0DXFHGF2B,50.91,47.11
B0DXFJD3VT,50.91,47.11
B0DXFJKG4P,54.84,50.71
B0DXFJT4PJ,54.84,50.71
B0DXFJY6ST,50.91,47.11
B0DXFNGH4Z,60.25,63.91
B0DXFR4T1W,111.1,117.82
B0DXFSMGDX,60.25,63.91
B0DXFTM992,111.1,117.82
B0FD41Q4B3,39.91,42.31
B0FD42117M,36.52,38.71
B0FD4221RM,38.78,41.11
B0FD42DWR4,41.04,43.51
B0FKTHVKG7,64.77,68.17
B0FKTKRTCD,64.77,68.17
B0FKTKXDLX,87.37,91.97
B0FKTMWC1P,87.37,91.97
B0FMS2F3M4,53.47,56.27
B0FMS2KNRW,53.47,56.27
B0FMS2PBLM,51.21,53.89
B0FMS2VTGK,51.21,53.89
B0FMS3PG8S,53.47,56.27
B0FMS3WS4Q,51.21,53.89
B0FMS3X5HH,54.6,57.46
B0FMS44R5C,51.21,53.89
B0FMS4FXHP,51.21,53.89
B0FMS4GRSM,51.21,53.89
B0FMS4QHXJ,51.21,53.89
B0FMS4XSS1,51.21,53.89
B0FMS52L55,51.21,53.89
B0FMS5543Y,54.6,57.46
B0FMS5JZZC,51.21,53.89
B0FMS5P815,51.21,53.89
B0FMS5P81D,51.21,53.89
B0FMS6DP6C,53.47,56.27
B0FMS77H71,54.6,57.46
B0FMS79RGV,54.6,57.46
B0FNRK89HS,54.6,57.46
B0FNRM6D7M,53.47,56.27
B0FNRMBFWF,51.21,53.89
B0FNRPCVQL,51.21,53.89
B0FNRPLZTX,51.21,53.89
B0FP2RYCMQ,181.16,192.31
B0FP2S3QKW,181.16,192.31
B0FP2T42F5,181.16,192.31
B0FP2TNCB1,181.16,192.31
B0FPD4BJMR,55.73,59.11
B0FR5BJGNQ,181.16,192.31
B0FR5GCL7G,181.16,192.31
B0FTGCP6TL,9.39,9.90
B0FV8LZ6NV,32.57,30.31
B0FV8MYW52,29.95,27.91
B0FV8N5SSJ,29.95,27.91
B0FV8NFWCS,29.95,27.91
B0FV8PW18G,29.95,27.91
